Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification
X5,2021,Europe,Grey,Hybrid,Manual,2.6,25888,31937,6291,Low
7 Series,2023,South America,Blue,Diesel,Manual,4.7,187161,89299,7859,High
i3,2015,Europe,Black,Diesel,Automatic,1.6,170935,68614,2940,Low
M3,2021,Africa,Blue,Petrol,Automatic,1.5,11430,109949,6188,Low
7 Series,2024,North America,Blue,Petrol,Automatic,2.8,90404,108662,558,Low
3 Series,2021,Europe,Blue,Petrol,Manual,2.5,148117,111416,6026,Low
X6,2013,South America,Blue,Diesel,Automatic,2.2,99157,74070,4319,Low
i3,2017,Europe,Grey,Electric,Automatic,2.4,172597,50365,1869,Low
M3,2011,North America,Grey,Electric,Automatic,2.1,113770,36043,4267,Low
X6,2020,Asia,Red,Electric,Manual,2.3,119788,85627,868,Low
X1,2013,North America,Red,Diesel,Manual,3.5,33905,95890,5934,Low
X5,2015,Asia,Black,Petrol,Automatic,3.2,30273,112711,9853,High
M3,2010,Africa,Grey,Diesel,Automatic,4.5,106762,43256,6768,Low
i3,2019,Europe,Black,Diesel,Manual,3.5,1458,71645,9763,High
i3,2024,Asia,Grey,Petrol,Manual,1.5,30269,99011,8950,High
7 Series,2018,South America,Red,Diesel,Manual,4.4,33451,38242,3719,Low
X3,2021,Africa,Grey,Hybrid,Automatic,3.4,178324,36940,8865,High
X1,2020,Africa,Grey,Hybrid,Manual,2.3,92173,101033,3874,Low
M5,2018,Europe,White,Hybrid,Automatic,3.5,158536,75947,3889,Low
i3,2022,Europe,Grey,Electric,Automatic,5.0,21956,117629,8589,High
7 Series,2024,Asia,Black,Diesel,Manual,5.0,63512,97881,7593,High
i8,2011,North America,Red,Electric,Automatic,3.5,81150,114132,8468,High
X3,2020,North America,Black,Diesel,Manual,2.8,86263,85369,5358,Low
3 Series,2021,South America,White,Diesel,Manual,4.5,74134,109662,4170,Low
i8,2024,Europe,Blue,Diesel,Manual,4.0,187663,73167,1886,Low
5 Series,2012,North America,Grey,Electric,Automatic,1.5,62620,76351,9424,High
X6,2017,North America,Blue,Electric,Manual,3.6,126965,71155,2589,Low
X1,2015,Europe,Red,Diesel,Automatic,3.5,71113,41926,9811,High
M5,2014,Asia,Blue,Hybrid,Manual,4.2,98547,67837,2841,Low
X6,2023,South America,White,Electric,Manual,4.4,28498,44325,3017,Low
X1,2014,Asia,Blue,Diesel,Automatic,4.5,37208,102449,3807,Low
i3,2021,North America,Black,Hybrid,Manual,2.2,4800,50749,7723,High
7 Series,2013,Africa,Blue,Diesel,Manual,2.3,159673,98431,1483,Low
i3,2014,South America,White,Diesel,Automatic,2.7,40409,104182,2634,Low
X3,2021,Middle East,Silver,Electric,Manual,3.2,77674,50005,6582,Low
5 Series,2021,South America,Grey,Hybrid,Manual,5.0,184108,96347,1768,Low
7 Series,2017,North America,Blue,Electric,Manual,4.7,151667,98462,7376,High
X3,2014,Europe,Silver,Hybrid,Manual,2.6,190087,72618,9965,High
X6,2018,North America,Blue,Petrol,Manual,4.5,20413,51215,7910,High
7 Series,2014,South America,Silver,Diesel,Manual,3.2,99709,63657,9035,High
M3,2020,North America,Red,Electric,Automatic,4.0,15394,105330,2230,Low
X3,2022,Asia,White,Petrol,Manual,3.8,2041,42700,8046,High
X5,2011,Europe,Blue,Electric,Automatic,4.2,169387,101025,9182,High
X5,2021,Asia,Grey,Hybrid,Manual,4.2,127104,111764,6336,Low
i3,2015,Africa,Grey,Hybrid,Automatic,4.5,100324,98824,139,Low
X1,2021,North America,Grey,Diesel,Automatic,3.8,123347,36516,4776,Low
i3,2016,Middle East,White,Hybrid,Manual,4.3,135242,102349,4091,Low
X6,2013,Europe,Blue,Hybrid,Automatic,2.7,162682,99497,403,Low
M5,2013,Europe,Black,Hybrid,Automatic,4.0,144150,62466,6140,Low
7 Series,2011,Asia,Silver,Hybrid,Automatic,4.0,55991,62594,9351,High
X3,2013,Asia,Red,Hybrid,Manual,1.7,88000,76824,4838,Low
X5,2021,Middle East,Red,Petrol,Automatic,2.7,43503,119899,5619,Low
X3,2021,South America,Red,Petrol,Manual,4.2,134275,90244,8704,High
i8,2023,Middle East,Blue,Electric,Manual,3.5,71054,66368,5054,Low
3 Series,2014,South America,White,Petrol,Automatic,3.0,140537,96810,237,Low
i8,2012,North America,Red,Petrol,Manual,2.8,66364,94945,6926,Low
X6,2022,Europe,Silver,Diesel,Automatic,3.2,118597,73682,6804,Low
X6,2012,South America,Grey,Hybrid,Manual,2.2,59515,90936,3504,Low
X1,2020,Africa,Black,Electric,Automatic,3.8,99927,49078,9939,High
i3,2010,North America,Black,Electric,Automatic,4.8,11466,59804,8704,High
i3,2024,South America,Blue,Diesel,Automatic,1.9,46631,65651,820,Low
M3,2024,Asia,Blue,Petrol,Automatic,2.8,40001,115900,2571,Low
7 Series,2015,South America,Silver,Diesel,Manual,3.3,15885,57155,7532,High
7 Series,2019,Middle East,Grey,Electric,Automatic,2.6,112455,59072,7566,High
X3,2017,Asia,White,Diesel,Automatic,2.0,148860,111620,5038,Low
M5,2014,South America,Grey,Hybrid,Manual,4.1,122368,85462,2696,Low
X5,2024,Middle East,Red,Diesel,Manual,2.4,78797,34380,1754,Low
3 Series,2024,Asia,Blue,Hybrid,Automatic,3.1,42086,110207,2098,Low
X1,2013,Asia,White,Diesel,Automatic,2.1,156225,110620,8761,High
i3,2018,South America,Grey,Hybrid,Manual,2.1,161131,66849,6194,Low
i3,2017,Europe,Red,Diesel,Manual,3.1,83798,104516,7757,High
X6,2010,South America,Red,Electric,Manual,2.3,23453,68540,5787,Low
M3,2016,South America,Black,Petrol,Manual,2.3,157432,62202,544,Low
i8,2016,Middle East,Blue,Hybrid,Automatic,4.0,110310,56376,2767,Low
X5,2017,Asia,Black,Electric,Manual,4.1,16622,94370,5344,Low
X3,2018,Middle East,Grey,Petrol,Manual,4.9,16401,66446,9916,High
X3,2020,South America,Black,Diesel,Manual,2.8,20110,108746,1959,Low
3 Series,2021,Asia,Blue,Hybrid,Automatic,3.0,125789,72512,5341,Low
X6,2016,Europe,Silver,Petrol,Automatic,2.3,183684,85746,796,Low
5 Series,2011,South America,Grey,Petrol,Automatic,3.1,170211,75326,1110,Low
X5,2020,North America,Silver,Electric,Manual,1.7,169772,68601,1168,Low
7 Series,2011,North America,Blue,Hybrid,Automatic,4.2,144084,64491,870,Low
X1,2016,Middle East,Grey,Petrol,Manual,3.8,37148,108061,6346,Low
M5,2014,Europe,Grey,Diesel,Manual,2.6,50023,47627,3935,Low
3 Series,2024,South America,White,Electric,Automatic,3.7,104138,115971,5412,Low
X5,2018,South America,Grey,Electric,Automatic,2.7,58398,44639,1771,Low
i3,2023,Africa,Grey,Electric,Automatic,3.0,25303,81511,1417,Low
5 Series,2010,South America,Black,Petrol,Automatic,4.7,188960,33130,2913,Low
i8,2020,Africa,Blue,Petrol,Automatic,3.3,68442,78961,4516,Low
3 Series,2011,Middle East,White,Petrol,Manual,3.8,66424,51250,1406,Low
7 Series,2017,North America,Silver,Petrol,Manual,4.1,122615,90574,3017,Low
i8,2019,South America,Grey,Hybrid,Manual,2.8,189237,98661,461,Low
i3,2012,South America,Grey,Petrol,Manual,1.8,180582,61076,6824,Low
M5,2024,Europe,Blue,Diesel,Manual,2.3,97568,77872,3749,Low
M3,2019,Asia,Red,Electric,Manual,3.4,87232,66786,8006,High
5 Series,2023,South America,Black,Diesel,Manual,2.5,154005,92804,3173,Low
X6,2010,South America,Silver,Electric,Manual,4.8,26452,92339,2826,Low
i8,2021,South America,Black,Diesel,Automatic,4.3,97591,113171,1743,Low
X6,2021,South America,White,Electric,Manual,2.2,42937,115841,6824,Low
X3,2010,North America,Red,Hybrid,Automatic,2.4,64854,107440,3950,Low
5 Series,2019,South America,Red,Diesel,Manual,4.1,142703,34735,2555,Low
X6,2018,Africa,Grey,Petrol,Manual,3.2,52312,37501,5352,Low
X5,2022,South America,Grey,Electric,Manual,4.9,177694,101071,9638,High
3 Series,2015,South America,Silver,Diesel,Manual,2.1,21191,86894,2581,Low
5 Series,2015,Middle East,Blue,Electric,Manual,4.7,26437,96632,7161,High
i3,2019,Asia,Silver,Hybrid,Automatic,2.2,15748,97017,4064,Low
X5,2018,South America,Black,Diesel,Automatic,4.4,107997,64441,7881,High
M5,2020,Asia,Black,Electric,Automatic,3.4,80170,99630,8441,High
7 Series,2013,South America,Silver,Diesel,Manual,4.6,40585,36697,579,Low
3 Series,2012,North America,Blue,Diesel,Manual,3.5,143117,62878,1878,Low
i3,2023,Asia,White,Diesel,Automatic,4.2,130875,115822,7700,High
i3,2013,Middle East,Blue,Hybrid,Automatic,2.0,19321,116580,6640,Low
X6,2015,North America,Black,Electric,Manual,2.0,23331,46607,2796,Low
5 Series,2019,Asia,Black,Hybrid,Automatic,3.1,47631,110147,7840,High
5 Series,2015,Asia,White,Petrol,Automatic,3.7,159703,44192,3824,Low
3 Series,2023,Africa,Red,Petrol,Manual,1.9,138628,95841,662,Low
X3,2022,North America,Black,Petrol,Manual,4.2,37881,45146,9250,High
3 Series,2024,Europe,Grey,Hybrid,Automatic,1.9,34603,58186,8518,High
5 Series,2023,Africa,Red,Petrol,Automatic,4.6,6796,115045,6754,Low
X5,2022,North America,White,Hybrid,Automatic,4.6,61383,60608,7391,High
M5,2017,South America,Silver,Petrol,Manual,1.5,5584,100926,7743,High
X5,2016,Africa,White,Hybrid,Automatic,3.6,198926,95858,6286,Low
X1,2023,Middle East,Silver,Electric,Manual,1.6,155090,93400,1567,Low
X3,2014,South America,Silver,Hybrid,Manual,2.4,128960,92143,2098,Low
M5,2011,Asia,Red,Electric,Manual,3.3,105792,98233,5041,Low
i8,2012,Middle East,White,Petrol,Automatic,4.0,36022,79310,4208,Low
M5,2023,Asia,Black,Petrol,Automatic,1.5,59883,54438,2548,Low
M5,2018,South America,Silver,Electric,Manual,3.1,4318,117356,7795,High
X3,2019,South America,Grey,Diesel,Automatic,4.4,146083,56071,4475,Low
X6,2023,South America,Blue,Electric,Automatic,4.0,150551,64175,7786,High
M3,2014,Europe,Red,Electric,Automatic,4.0,66785,102518,800,Low
X3,2015,Middle East,Silver,Hybrid,Manual,3.6,3863,101400,1807,Low
i8,2019,North America,White,Petrol,Manual,1.9,193696,34431,4484,Low
5 Series,2023,North America,Grey,Electric,Manual,3.3,197547,51358,4239,Low
X1,2013,Africa,Blue,Diesel,Automatic,4.5,66674,89700,4851,Low
i8,2010,North America,Blue,Electric,Manual,1.9,170137,100470,2116,Low
M5,2024,North America,Silver,Petrol,Manual,3.9,180354,97038,8227,High
X3,2020,North America,Silver,Electric,Manual,3.9,138540,79928,9656,High
X6,2023,North America,Red,Diesel,Manual,4.2,21829,95976,6502,Low
3 Series,2014,Asia,Blue,Diesel,Manual,4.7,37547,101463,5039,Low
X1,2022,Asia,White,Petrol,Automatic,4.9,98850,83929,1345,Low
i3,2010,North America,Grey,Diesel,Automatic,3.5,183956,67063,4323,Low
X3,2020,Europe,Grey,Diesel,Automatic,1.6,187673,57675,9818,High
i3,2012,Africa,Blue,Diesel,Automatic,2.3,190951,77424,171,Low
X1,2014,Middle East,Red,Electric,Manual,2.1,147675,65462,4746,Low
5 Series,2016,North America,Grey,Diesel,Automatic,3.6,123608,118392,6530,Low
M5,2023,Middle East,Blue,Electric,Manual,4.0,100117,63971,588,Low
X1,2024,Middle East,Black,Hybrid,Automatic,3.2,14060,98774,9199,High
M5,2015,Middle East,Blue,Electric,Automatic,3.8,143592,50918,1095,Low
X3,2012,Middle East,Red,Electric,Manual,4.7,58422,71804,5688,Low
M3,2014,Middle East,White,Electric,Manual,4.8,73995,33513,5334,Low
X3,2024,Europe,Blue,Electric,Automatic,3.9,194340,67548,1982,Low
M5,2022,Europe,Grey,Petrol,Manual,4.5,159050,111925,5199,Low
7 Series,2024,South America,White,Hybrid,Automatic,3.4,18587,88189,4510,Low
7 Series,2016,Middle East,Blue,Electric,Automatic,3.9,184938,81680,6867,Low
X3,2016,Asia,White,Petrol,Automatic,1.9,122385,107317,3087,Low
M3,2022,Asia,Black,Petrol,Automatic,4.5,134325,34818,4243,Low
3 Series,2018,Africa,Red,Electric,Manual,2.0,874,75132,7907,High
M3,2014,Middle East,Red,Diesel,Manual,2.3,129682,105868,8609,High
X3,2011,Africa,Silver,Hybrid,Manual,5.0,68885,51330,6418,Low
M5,2020,Asia,Black,Electric,Manual,3.5,82655,100526,5995,Low
M5,2020,Africa,Black,Electric,Automatic,2.4,13775,44885,7607,High
M3,2019,Middle East,Grey,Petrol,Manual,4.2,177414,80410,4334,Low
7 Series,2020,South America,White,Diesel,Automatic,3.9,44118,103261,6688,Low
X5,2019,Europe,White,Petrol,Automatic,2.3,12167,62641,5779,Low
3 Series,2015,North America,Red,Hybrid,Automatic,1.6,61388,64075,1582,Low
M5,2014,South America,Red,Hybrid,Manual,2.8,95581,46154,8681,High
X3,2012,South America,Red,Hybrid,Automatic,4.7,8893,58478,2426,Low
M5,2012,Middle East,Grey,Electric,Automatic,1.8,72304,85870,408,Low
3 Series,2011,South America,Red,Diesel,Manual,3.7,55849,77871,2643,Low
X3,2018,Asia,Red,Electric,Manual,1.7,58215,97907,1175,Low
5 Series,2012,Africa,Silver,Diesel,Automatic,4.9,111993,63709,5003,Low
X5,2020,North America,White,Diesel,Automatic,2.0,68708,77481,8537,High
X5,2012,Europe,Blue,Hybrid,Manual,4.0,104816,81275,2030,Low
i8,2021,North America,Red,Petrol,Automatic,3.3,197210,88970,6990,Low
3 Series,2014,Africa,Silver,Petrol,Manual,3.1,191735,46449,5856,Low
X6,2013,South America,White,Diesel,Manual,1.9,125166,82378,331,Low
X5,2024,Asia,Silver,Hybrid,Automatic,3.7,58429,78458,2300,Low
5 Series,2022,Africa,Black,Petrol,Automatic,2.0,69321,40778,2418,Low
7 Series,2023,North America,Black,Hybrid,Manual,1.8,65879,93059,5341,Low
i3,2019,Europe,Grey,Hybrid,Manual,2.4,52293,96822,1222,Low
M3,2023,Europe,White,Electric,Automatic,3.0,198126,46674,9011,High
5 Series,2010,Africa,Silver,Electric,Manual,4.6,56219,96082,4229,Low
X5,2024,North America,Grey,Electric,Manual,2.4,185214,92467,851,Low
X3,2023,North America,Red,Electric,Manual,4.0,131877,74655,4087,Low
X6,2011,Africa,Black,Electric,Automatic,2.6,6785,51634,2711,Low
X6,2022,South America,Blue,Hybrid,Manual,4.2,46539,52239,7102,High
7 Series,2015,Africa,Red,Electric,Automatic,4.2,3889,108541,2472,Low
X6,2010,Asia,White,Petrol,Automatic,5.0,53315,48496,3644,Low
5 Series,2011,Asia,Black,Hybrid,Automatic,3.0,122634,82702,8447,High
X3,2016,Asia,Red,Hybrid,Automatic,1.8,85488,55502,7487,High
M3,2011,Africa,Grey,Diesel,Manual,4.7,199048,50257,4413,Low
X3,2010,Asia,Grey,Petrol,Manual,4.2,153039,36598,3953,Low
X1,2020,Asia,Grey,Diesel,Automatic,1.7,116137,92323,9612,High
X1,2024,Middle East,White,Electric,Manual,3.1,13994,77464,3450,Low
M3,2010,North America,Blue,Diesel,Automatic,2.2,57396,83030,780,Low
3 Series,2022,Europe,Blue,Diesel,Automatic,1.9,135414,72853,9236,High
5 Series,2024,South America,Red,Petrol,Automatic,3.5,133294,74199,4746,Low
i3,2016,Middle East,White,Hybrid,Automatic,4.3,82792,97834,2627,Low
i3,2013,North America,Red,Hybrid,Manual,2.7,76517,116005,2547,Low
M3,2011,North America,Blue,Diesel,Manual,3.0,116693,62629,9172,High
X5,2017,Africa,Blue,Hybrid,Automatic,4.0,194838,31879,5857,Low
X1,2021,Asia,Grey,Petrol,Manual,4.2,65545,114455,8066,High
i3,2014,Asia,Red,Diesel,Manual,2.6,116164,40040,4770,Low
X3,2015,Asia,Black,Diesel,Manual,1.8,109616,61644,8596,High
X6,2011,Asia,Black,Electric,Manual,4.2,136502,96487,3422,Low
X6,2010,Asia,Black,Electric,Manual,2.8,69602,71046,1948,Low
X1,2020,North America,Silver,Diesel,Automatic,4.9,69317,40204,8070,High
5 Series,2010,South America,Silver,Diesel,Manual,3.9,113519,76417,8988,High
3 Series,2011,Asia,White,Petrol,Manual,1.8,60268,81677,8406,High
i3,2012,Asia,Blue,Hybrid,Manual,3.0,97811,70109,9228,High
i8,2018,Asia,Silver,Hybrid,Manual,4.6,171596,41813,2159,Low
5 Series,2014,Africa,Grey,Hybrid,Manual,4.4,58137,45194,7680,High
i8,2016,North America,Grey,Hybrid,Automatic,3.8,95590,42030,7955,High
X3,2022,North America,Silver,Hybrid,Manual,3.7,99765,56488,7540,High
M5,2016,Asia,White,Diesel,Automatic,1.9,199152,67381,8046,High
3 Series,2017,Asia,Red,Diesel,Automatic,4.0,191002,49121,1354,Low
3 Series,2019,South America,Red,Hybrid,Automatic,4.5,145108,110658,7665,High
7 Series,2020,Middle East,Silver,Electric,Manual,2.1,113077,119742,8384,High
X1,2014,Asia,White,Petrol,Manual,3.5,45308,93675,4507,Low
i3,2010,Africa,Grey,Diesel,Automatic,3.4,107892,119965,6174,Low
i3,2011,Asia,Red,Petrol,Manual,4.3,81904,68062,3066,Low
M5,2010,South America,White,Electric,Automatic,2.7,94343,74196,4426,Low
X5,2017,North America,Silver,Diesel,Automatic,3.1,174528,53198,9790,High
X6,2012,South America,Silver,Petrol,Automatic,3.1,76358,39674,2445,Low
M5,2023,Africa,Blue,Diesel,Manual,5.0,31721,56729,1745,Low
M5,2010,Asia,Grey,Hybrid,Manual,3.7,123133,91729,3971,Low
7 Series,2024,Asia,Red,Petrol,Manual,1.6,115889,67344,2081,Low
i8,2012,Europe,Silver,Petrol,Manual,2.7,155914,70539,3089,Low
X1,2021,Asia,Silver,Diesel,Manual,3.0,124088,90531,2648,Low
i3,2012,Europe,Blue,Diesel,Manual,4.6,128582,40925,9759,High
M5,2013,Middle East,Grey,Hybrid,Manual,1.6,115442,66053,6092,Low
M5,2016,Middle East,Red,Electric,Automatic,3.7,4575,31323,9016,High
X6,2023,Europe,Black,Hybrid,Manual,3.0,118642,65469,2441,Low
5 Series,2011,South America,White,Diesel,Manual,4.4,82880,82429,6368,Low
X3,2016,Asia,Red,Electric,Manual,3.1,133097,91226,2826,Low
X1,2023,Asia,White,Electric,Manual,4.1,43128,75078,1016,Low
i8,2010,Europe,Blue,Diesel,Automatic,3.2,193406,74497,7939,High
5 Series,2011,Asia,Red,Petrol,Automatic,3.2,162077,100499,3738,Low
M5,2016,Middle East,White,Petrol,Manual,5.0,114945,87406,6649,Low
i8,2021,North America,Black,Hybrid,Automatic,2.0,157862,45183,6718,Low
M3,2016,Asia,Blue,Electric,Manual,3.8,15640,87346,3836,Low
X5,2012,South America,Red,Diesel,Automatic,4.6,161921,78554,2731,Low
M5,2020,Europe,Grey,Hybrid,Automatic,4.2,106665,93767,9563,High
5 Series,2017,North America,Blue,Diesel,Automatic,3.7,154985,31932,7652,High
5 Series,2013,South America,Red,Diesel,Automatic,2.0,22745,43067,5664,Low
X1,2024,North America,Grey,Petrol,Manual,3.0,182647,82874,1404,Low
i8,2024,South America,Blue,Diesel,Manual,4.2,29973,102462,4646,Low
X6,2013,South America,Grey,Diesel,Manual,1.8,167512,47926,9250,High
X5,2020,South America,White,Petrol,Automatic,4.1,85437,44726,4972,Low
7 Series,2016,North America,Black,Petrol,Manual,1.8,15735,84055,6011,Low
3 Series,2014,North America,Silver,Petrol,Manual,1.9,106586,55602,427,Low
M5,2015,South America,Grey,Hybrid,Manual,3.0,55966,94953,8692,High
M5,2013,Middle East,Grey,Petrol,Automatic,4.3,171684,47841,1246,Low
X5,2011,Europe,Grey,Electric,Automatic,5.0,116105,98262,606,Low
X3,2022,Africa,Red,Hybrid,Automatic,1.9,189224,52248,5472,Low
X5,2015,South America,Silver,Petrol,Automatic,1.8,29422,86499,3604,Low
X3,2021,Asia,Black,Hybrid,Manual,2.8,38413,107714,6048,Low
X3,2012,North America,White,Hybrid,Automatic,3.4,87416,100524,333,Low
M3,2012,Africa,Blue,Diesel,Manual,2.0,131954,102508,1622,Low
i3,2012,South America,Red,Electric,Manual,2.7,77789,118258,6886,Low
X3,2013,Middle East,Black,Hybrid,Manual,4.2,160634,107140,737,Low
M5,2012,Middle East,Black,Hybrid,Automatic,3.7,161085,50921,5140,Low
5 Series,2023,South America,Black,Hybrid,Manual,1.9,41174,112714,2617,Low
i8,2022,Middle East,Blue,Electric,Automatic,2.2,12082,76566,9576,High
5 Series,2016,South America,Blue,Electric,Automatic,4.1,108797,43158,3060,Low
M5,2017,Middle East,Grey,Diesel,Manual,2.6,152032,52702,3107,Low
X3,2023,North America,Silver,Hybrid,Manual,3.5,39538,101953,972,Low
5 Series,2016,Africa,White,Petrol,Automatic,2.0,57487,118205,1392,Low
3 Series,2014,North America,White,Hybrid,Automatic,2.6,173433,63261,5951,Low
M5,2020,Asia,White,Hybrid,Automatic,2.2,114689,45633,8085,High
7 Series,2020,Asia,Silver,Petrol,Automatic,3.8,123327,108946,4087,Low
X1,2019,Middle East,Grey,Diesel,Manual,3.2,151062,64938,778,Low
X6,2011,Europe,Black,Petrol,Manual,4.8,47462,110093,5747,Low
X6,2018,Europe,Black,Petrol,Automatic,3.7,134403,37179,9749,High
X1,2021,Asia,Red,Diesel,Automatic,1.6,99238,101203,900,Low
X6,2015,Middle East,Red,Diesel,Manual,4.1,12919,100018,8232,High
i3,2017,Middle East,Red,Hybrid,Automatic,2.8,198097,82332,2335,Low
X3,2023,North America,Grey,Electric,Automatic,2.1,45253,57016,3926,Low
7 Series,2011,South America,Silver,Electric,Manual,4.3,10218,68910,5271,Low
M3,2015,Asia,White,Diesel,Manual,5.0,117138,116572,8524,High
i8,2010,Asia,White,Diesel,Automatic,4.5,170127,40085,9153,High
5 Series,2016,Europe,White,Petrol,Automatic,4.7,171864,58055,8929,High
i3,2012,Asia,Blue,Diesel,Automatic,4.1,190059,64776,233,Low
7 Series,2013,Middle East,White,Hybrid,Automatic,1.7,112898,115110,1063,Low
5 Series,2016,South America,Blue,Hybrid,Manual,2.3,36758,57702,2397,Low
M5,2014,Europe,Silver,Petrol,Manual,4.8,189211,86517,2160,Low
X5,2012,Middle East,White,Diesel,Automatic,1.8,143894,98902,208,Low
i8,2013,Middle East,Blue,Hybrid,Automatic,4.5,89967,99831,4090,Low
i8,2022,Asia,Red,Diesel,Manual,2.2,131406,98854,1337,Low
5 Series,2021,Middle East,Black,Petrol,Automatic,3.4,182142,110079,3305,Low
5 Series,2019,Europe,Black,Hybrid,Manual,3.9,67976,58354,2837,Low
X5,2011,North America,Red,Hybrid,Automatic,2.9,26386,50292,1616,Low
i8,2010,Asia,Silver,Petrol,Automatic,4.0,133017,92603,8350,High
7 Series,2012,Middle East,Silver,Diesel,Manual,4.7,156786,68049,8459,High
X5,2013,North America,Red,Diesel,Manual,2.5,122782,117501,2118,Low
i3,2015,Europe,Grey,Hybrid,Automatic,2.3,70167,35701,9462,High
M5,2016,North America,Grey,Diesel,Automatic,4.8,89988,48784,8607,High
X3,2020,North America,White,Electric,Manual,3.3,28515,87190,4211,Low
5 Series,2023,North America,White,Hybrid,Manual,3.1,143679,76244,7908,High
i8,2017,Middle East,Grey,Petrol,Automatic,4.9,35452,88147,4260,Low
7 Series,2024,Europe,Grey,Petrol,Automatic,4.1,191624,33256,2996,Low
7 Series,2017,Middle East,Red,Hybrid,Automatic,1.7,171545,88423,1733,Low
5 Series,2017,Africa,Red,Electric,Manual,3.1,129411,87385,3944,Low
i8,2015,North America,White,Electric,Automatic,4.4,2507,48519,2062,Low
M5,2023,Asia,Red,Electric,Manual,3.0,130509,94884,9645,High
X3,2010,North America,White,Hybrid,Automatic,4.8,85994,41557,2096,Low
X1,2018,North America,Black,Petrol,Automatic,2.6,193091,119264,5202,Low
i8,2015,Middle East,White,Diesel,Manual,5.0,58200,91420,253,Low
X3,2012,Africa,Silver,Electric,Automatic,3.8,157577,118594,5901,Low
5 Series,2023,Asia,Silver,Hybrid,Manual,3.7,159329,108644,3041,Low
7 Series,2017,North America,Red,Electric,Automatic,2.2,154172,95673,9015,High
M3,2021,Africa,White,Petrol,Automatic,3.9,45005,88901,2539,Low
X3,2023,Africa,Grey,Petrol,Automatic,1.8,92315,37343,4239,Low
i3,2019,Europe,Blue,Electric,Manual,2.6,162249,82357,9540,High
X1,2012,North America,Black,Petrol,Automatic,2.9,177865,45990,1225,Low
M5,2012,South America,Blue,Hybrid,Automatic,3.9,191860,43454,3002,Low
i8,2017,South America,Grey,Hybrid,Manual,1.9,58535,78221,8141,High
X1,2010,Asia,Grey,Petrol,Manual,2.9,115593,66860,1242,Low
3 Series,2015,Europe,Blue,Petrol,Manual,4.3,135082,62358,399,Low
X6,2022,Europe,Grey,Petrol,Manual,3.0,50614,87504,9275,High
X3,2016,Europe,Silver,Electric,Manual,2.9,76928,61824,5534,Low
7 Series,2011,North America,Red,Petrol,Automatic,4.2,160318,58563,3082,Low
3 Series,2018,Europe,Grey,Diesel,Automatic,3.8,50942,117415,2822,Low
M3,2015,Asia,Silver,Hybrid,Manual,3.1,25653,66242,7612,High
3 Series,2022,Europe,Black,Electric,Automatic,3.8,90467,85701,2163,Low
M3,2019,South America,Grey,Petrol,Automatic,3.9,84063,75326,9959,High
X6,2011,North America,Silver,Electric,Manual,2.3,165912,55917,7047,High
M3,2011,Africa,Silver,Petrol,Manual,2.4,75144,60869,9261,High
i8,2016,Europe,Red,Hybrid,Manual,3.8,105433,51869,3236,Low
X1,2021,South America,Black,Hybrid,Manual,1.9,79720,95408,3529,Low
7 Series,2011,North America,Red,Electric,Manual,2.2,104255,83659,9297,High
i3,2015,Africa,Blue,Electric,Automatic,2.3,101593,107178,2183,Low
3 Series,2018,South America,Blue,Hybrid,Manual,4.5,131034,93622,7302,High
7 Series,2019,Europe,Black,Diesel,Manual,2.4,46992,67551,6307,Low
X3,2017,South America,White,Diesel,Manual,1.7,32062,73204,8125,High
X6,2017,Africa,Grey,Petrol,Automatic,3.5,116929,81401,9567,High
X1,2011,Middle East,Silver,Petrol,Automatic,4.5,25133,77129,9892,High
M5,2022,Africa,Grey,Diesel,Manual,2.4,61936,96963,4344,Low
X1,2019,Africa,White,Petrol,Manual,3.1,193527,103599,1882,Low
X1,2020,Europe,Black,Electric,Manual,2.6,198003,84762,9086,High
i3,2017,South America,Grey,Petrol,Automatic,3.1,122560,35407,3731,Low
X3,2014,Middle East,Black,Hybrid,Manual,4.7,57610,99323,8335,High
i8,2022,South America,Blue,Electric,Automatic,2.3,132380,44727,7788,High
i3,2015,North America,Silver,Petrol,Manual,3.1,67603,55652,709,Low
M3,2022,North America,Red,Petrol,Automatic,4.4,185462,52755,7627,High
X3,2012,Africa,Blue,Electric,Automatic,2.4,12389,86928,603,Low
M3,2014,South America,Silver,Petrol,Automatic,3.2,61178,109299,7813,High
7 Series,2022,Middle East,Grey,Diesel,Manual,4.6,123556,81932,1207,Low
5 Series,2021,North America,Blue,Diesel,Manual,3.7,106303,61705,4133,Low
7 Series,2011,North America,White,Petrol,Manual,4.8,134718,107265,4789,Low
X6,2013,South America,Silver,Hybrid,Manual,3.0,4783,56031,6882,Low
5 Series,2014,Middle East,White,Petrol,Automatic,2.0,179335,112394,2995,Low
i8,2011,Europe,Blue,Petrol,Manual,4.4,45114,51298,1341,Low
M5,2023,Africa,Blue,Petrol,Automatic,3.0,156213,43057,5974,Low
X6,2016,Asia,Grey,Electric,Manual,2.2,156541,72958,7778,High
i8,2010,Europe,Silver,Diesel,Automatic,3.4,149160,101921,7567,High
7 Series,2021,South America,White,Petrol,Automatic,1.6,132565,59192,3263,Low
X5,2011,Europe,Red,Electric,Manual,4.8,7943,64239,2593,Low
